State,Job,Count
Washington,Leadership,"26,000"
Washington,Product,"37,000"
Washington,Engineering,"3,000"
Washington,DataScience,25
Washington,Operations,"7,000"
Washington,Marketing,"3,000"
Washington,Sales,"8,000"
Washington,Design,"1,000"
Washington,Support,"59,000"
Washington,Finance,"1,000"
Washington,Resources,"27,000"
Washington,Research,"1,000"
Washington,Healthcare,"23,000"
Washington,Education,"5,000"
Washington,Security,900
Washington,Logistics,"1,000"
Washington,Legal,700
Washington,Quality,"1,000"
Washington,Management,"19,000"
Washington,Content,800
